2021-02-06 12:10:11,361 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:16,366 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:21,372 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:26,377 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:31,382 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:11:27,832 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:32,837 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:37,840 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:42,843 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:47,848 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:52,851 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:11:57,855 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:02,861 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:07,864 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:12,870 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:17,874 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:22,879 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:27,880 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:32,881 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:37,883 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:42,887 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:47,890 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:52,895 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:12:57,900 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:02,905 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:07,910 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:12,915 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:17,920 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:22,926 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:27,929 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:32,934 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:37,940 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:42,940 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:47,946 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:52,949 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:13:57,955 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:14:02,960 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:14:59,181 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:04,184 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:09,189 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:14,192 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:19,198 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:24,200 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:29,205 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:15:34,210 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:16:31,829 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:16:36,831 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:16:41,835 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:16:46,839 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:16:51,843 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:16:56,848 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:01,853 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:06,858 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:11,860 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:16,864 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:21,869 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:26,874 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:31,880 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:36,882 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:41,885 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:46,890 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
2021-02-06 12:17:51,894 - INFO - {'key1': '1.19', 'key3': 'localhost:9090', 'key2': '1'}
